distance_from_stop	ck-1a	upf1	set-1	prd-1	pabp-2	set-2	wc-2	frq	csp-1	pkac-1	frh	NCU06565	cka	ckb-1	rco-1	nab2
106	0	0	0	0.5	3	0.5	6	0.5	0	0	2	0	0	123	0	1
107	0	0	0	0.5	3	0.5	6	0.5	0	0	2	0	0	123.5	0	1
108	0	0	0	0.5	3	0.5	6.5	0.5	0	0	2	0	0	122.5	0	1
109	0	0	0	0.5	3	0.5	6.5	0.5	0	0	2	0	0	119	0	2
110	0	0	0	0.5	2.5	0.5	6.5	0.5	0	0	2	0	0	120	0	2
111	0	0	0	0.5	2.5	0.5	6.5	0.5	0	0	2	0	0	118.5	0	2
112	0	0	0	0.5	2.5	0.5	6.5	0.5	0	0	2	0	0	118.5	1.5	2.5
113	0	0	0	0.5	2.5	0.5	6.5	0.5	0	0	1.5	0	0	118.5	1.5	2.5
114	0	0	0	0	2.5	0.5	6.5	0.5	0	0	1.5	0	0	120	2.5	2.5
115	0	0	0	0	2.5	0.5	6.5	0.5	0	0	1.5	0	0	120	2.5	2.5
116	0	0	0	0	2.5	0.5	6.5	0.5	0	0	1.5	0	0	119	2.5	2.5
117	0	0	0	0	2.5	0.5	6.5	0.5	0	0	1.5	0	0	119.5	2.5	2.5
118	0	0	0	0	2.5	0.5	6.5	0.5	0	0	1.5	0	0	119	3.5	2.5
119	0	0	0	0	2.5	0.5	6.5	0.5	0	0	1.5	0	0	101	4.5	2.5
120	0	0	0	0	2.5	0.5	6.5	0.5	0	0	1.5	0	0	100	4.5	2.5
121	0	0	0	0	2	0.5	6.5	0.5	0	0	1.5	0	0	101	4.5	2.5
122	0	0	0	0	2	0.5	6.5	0.5	0	0	1.5	0	0	100	4.5	9.5
123	0	0	0	0	2	0.5	6.5	0.5	0	0	1.5	0	0	95	4.5	10
124	0	0	2	0	2	0.5	6.5	0.5	0	0.5	1	0	0	92.5	5.5	10
125	0	0	2	0	2	0	6.5	0.5	0	0.5	1	0	0	88.5	5.5	10
126	0	0	2	0	2	0	6.5	0.5	0	0.5	1	0	0	87.5	6.5	10.5
127	0	0	2	0	1	0	6.5	0.5	0	0.5	1	0	0	85	7	11
128	0	0	2	0	1	0	6.5	0.5	0	0.5	1	0	0	85	7	12
129	0	0	2	0	1	0	6.5	0.5	0	0.5	1	0	0	82.5	7	12
130	0	0	2	0	1	0	6.5	0.5	0	0.5	1	0	0	60.5	7	12.5
131	0	0	2	0	1	0	6.5	0.5	0	0.5	1	0	0	53	7	12.5
132	0	0	2	0	1	0	6.5	0.5	0	0.5	0.5	0	0	42	7	13
133	0	0	2	0	1	0	6.5	0.5	0	0.5	0.5	0	0	40.5	7	13
134	0	0	2	0	1	0	6.5	0.5	0	0.5	0.5	0	0	40.5	7	13
135	0	0	2	0	1	0	6.5	0.5	0	0.5	0.5	0	0	40.5	7	13
136	0	0	2	0	1	0	6.5	0.5	0	0.5	0.5	0	0	40.5	7	14
137	0	0	2	0	1	0	6.5	0.5	1	0.5	0.5	0	0	40.5	7	15
138	0.5	0	2	0	0	0	6.5	0.5	1	0.5	0.5	0	0	39.5	7	15
139	0.5	0	2	0	0	0	6.5	0.5	1	0.5	0	0	0	39	8	15
140	0.5	0	2	0	0	0	6.5	0	1	0.5	0	0	0	39	8	15.5
141	0.5	0	2	0	0	0	6.5	0	1	0.5	0.5	0	0	39	8	15.5
142	0.5	0	2	0	0	0	6.5	0	1	0.5	1	0	0	39	26.5	15.5
143	0.5	0	2	0	0	0	6.5	0	1	0.5	1	0	0	39	26.5	15.5
144	0.5	0	2	0	0	0	6.5	0	1	0.5	1	0	0	39	37.5	16
145	0.5	0	2	0	0	0	6.5	0	1	0.5	2	0	0	39	38.5	16
146	0.5	0	2	0	0	0	6.5	0	1	0.5	2	0	0	39	47	16
147	0.5	0	2	0	0	0	6.5	0	1	0.5	2	0	0	39	181.5	16.5
148	1	0	2	0	0	0	6.5	0	1	0.5	2	0	0	39	196.5	17
149	1	0	2	0	0	0	6.5	0	1	0.5	2	0	0	39	202.5	17.5
150	1	0	2	0	0	0	6.5	0	1	0.5	3.5	0	0	39	209	18
151	1	0	3	0	0	0	6.5	0	1	0.5	4	0	0	39	211	18.5
152	1	0	3	0	0	0	6.5	0	1	0.5	4	0	0	39	212.5	18.5
153	1	0	3	0	0	0	6.5	0	1	0.5	4	0	0	39	215.5	20
154	1	0	3	0	0	0	6.5	0	1.5	0.5	4	0	0	39	398	20
155	1	0	3	0	0	0	6.5	0	1.5	0.5	4	0	0	38.5	405.5	20.5
156	1	0	3	0	0	0	6.5	0	1.5	0.5	6.5	0	0	38.5	419	20.5
157	1	0	3	0	0	0	6.5	0	1.5	0.5	11.5	0	0	38.5	421	20.5
158	1	0	3	0	0	0	6.5	0	1.5	0.5	12	0	0	38.5	426.5	20.5
159	1	0	3	0	0	0	6.5	0	1.5	0.5	12	0	0	38.5	493	20.5
160	1	0	3	0	0	0	6.5	0	1.5	0.5	12.5	0	0	36.5	575.5	20.5
161	1	0	3	0	0	0	4	0	1.5	0.5	12.5	0	0	32	595.5	21
162	1	0	3	0	0	0	4	0	1.5	0.5	12.5	0	0	32	599	21
163	1	0	3	0	0	0	1	0	1.5	0.5	12.5	0	0	32	601	21
164	1	0	3	0	0	0	1	0	1.5	1	14.5	0	0	29	603.5	21
165	1	0	3	0	0	0	1	0	1.5	1	14.5	0	0	28.5	612	21
166	1	0	3	0	0	0	1	0	1.5	1	14.5	0	0	23	612.5	21.5
167	1	0	3	0	0	0	0	0	1.5	1	14.5	0	0	22	615	22
168	1	0	3.5	0	0	0	0	0	1.5	1	14.5	0	0	18.5	616	22
169	1	0	3.5	0	0	0	0	0	1.5	1	14.5	0	0	13	617.5	22
170	1.5	0	3.5	0	0	0	0	0	1.5	1	14.5	0	0	8	620	22
171	1.5	0	3.5	0	0	0	0	0	1.5	1	14.5	0	0	8	625.5	22
172	1.5	0	3.5	0	0	0	0	0	1.5	1	14.5	0	0	7	683.5	22
173	1.5	0	3.5	0	0	0	0	0	1.5	1	14.5	0	0	7	691	22
174	1.5	0	3.5	0	0	0	0	0	1.5	1	14.5	0	0	7	696.5	22
175	1.5	0	3.5	0	0	0	0	0	1.5	1	14.5	0	0	6.5	698.5	22
176	1.5	0	3.5	0	0	0	0	0	1.5	1	14.5	0	0	7	699	22
177	1.5	0	3.5	0	0	0	0	0	1.5	1	14.5	0	0	7	700.5	22.5
178	1.5	0	3.5	0	0	0	0	0	1.5	1	14.5	0	0	7	702	24.5
179	1.5	0	3.5	0.5	0	0	0	0	1.5	1	15	0	0	7	702	24.5
180	1.5	0	3.5	0.5	0	0	0	0	1.5	1	16	0	0	7	703.5	24
181	1.5	0	3.5	0.5	0	0	0	0	1.5	1	19	0	0	7	705.5	24
182	1.5	0	3.5	0.5	0	0	0	0	1.5	1	19	0	0	7	706.5	24.5
183	1.5	0	3.5	0.5	0	0	0	0	1.5	1	19	0	0	6.5	707	27
184	1.5	0	3.5	0.5	0	0	0	0	1.5	1	19.5	0	0	6.5	707	78.5
185	1.5	0	3.5	0.5	0	0	0	0	1.5	1	20	0	0	6	708	158.5
186	1.5	0	3.5	1.5	0	0	0	0	1.5	1	20.5	0	0	5	708	167.5
187	1.5	0	3.5	1.5	0	0	0	0	1.5	1.5	20.5	0	0	5	708	168
188	1.5	0	3.5	1.5	0	0	0	0	1.5	3	20.5	0	0	5	705.5	180
189	1.5	0	4	1.5	0	0	0	0	1.5	3	20.5	0	0	5	705.5	183
190	1.5	0	4	1.5	0	0	0	0	1.5	3	22	0	0	3	704.5	191
191	1.5	0	4	1.5	0	0	0	0	1.5	3	22.5	0	0	3	704.5	192.5
192	1.5	0	4	1.5	0	0	0	0	1.5	3.5	22.5	0.5	0	3	704.5	193.5
193	1.5	0	4	1.5	0	0	0	0	1.5	3.5	22.5	0.5	0	3	704.5	195.5
194	1.5	0	4.5	1.5	0	0	0	0	1.5	3.5	22.5	0.5	0	3	705.5	195.5
195	1.5	0	4.5	1.5	0	0	0	0	1.5	3.5	22.5	0.5	0	3	705	196
196	1.5	0	4.5	1.5	0	0	0	0	1.5	4	22.5	0.5	0	3	705	196.5
197	1.5	0	4.5	1.5	0	0	0	0	1.5	4	23	0.5	0	1	705	196
198	1.5	0	4.5	1.5	0	0	0	0	1.5	4	23	0.5	0	0.5	705	189.5
199	1.5	0	4.5	1.5	0	0	0	0	1.5	4	23	1	0	0.5	704.5	203.5
200	1.5	0	2.5	1.5	0	0	0	0	1.5	4	23	1	0	0.5	705	204
201	1.5	0	9	1.5	0	0	0	0	1.5	4	24.5	1	0	0.5	705	216
202	1.5	0	10.5	2	0	0	0	0	1.5	4	38.5	1	0	0.5	703.5	217.5
203	1.5	0	11.5	2	0	0	0	0	1.5	4	39.5	1	0	0.5	703.5	217.5
204	1.5	0	17.5	2	0	0	0	0	1.5	4	41	1.5	0	0.5	703	219
205	1.5	0	17.5	2	0	0	0	0	1.5	4	41	1.5	0	0.5	703	219.5
206	1.5	0	17.5	2	0	0	0	0	1.5	4	51	2	0	0.5	703	218.5
207	1.5	0	17.5	2	0	0	0	0	1.5	4	51.5	2	0	0.5	703	219
208	1.5	0	17.5	2.5	0	0	0	0	1.5	4	52.5	4.5	0	0.5	702.5	219.5
209	1.5	0	18	2.5	0	0	0	0	1.5	4	52.5	5	0	0.5	702.5	219.5
210	1.5	0	18.5	2.5	0	0	0	0	1.5	4	53	7	0	1	703	219.5
211	1.5	0	18.5	2.5	0	0	0	0	1	4	55.5	10	0	1.5	703	220
212	1.5	0	18.5	2.5	0	0	0	0	1	4	55.5	10	0	1.5	703	219
213	1.5	0	18.5	2.5	0	0	0	0	0.5	4	55.5	10	0	1.5	703	217.5
214	1	0	19	2.5	0	0	0	0	0.5	4	55.5	10	0	1.5	703	217.5
215	1	0	28.5	2.5	0	0	0	0	0.5	4	56.5	12	0	1.5	702.5	217.5
216	1	0	28.5	2.5	0	0	0	0	0.5	4	58	12	0	1.5	702.5	217
217	1	0	29.5	2.5	0	0	0	0	0.5	4	58	12	0	1.5	700.5	217
218	1	0	29.5	3	0	0	0	0	0.5	4	58.5	12	0	1.5	682	217.5
219	1	0	29.5	3	0	0	0	0	0	4	58.5	12	1	1.5	681.5	217.5
220	1	0	30	3	0	0	0	0	0	4	58.5	12.5	1	1.5	668.5	218
221	1	0	30.5	3	0	0	0	0	0	4	57.5	12.5	1	1.5	666	218
222	1	0	30.5	3	0	0	0	0	0	4	57.5	12.5	1	1.5	651.5	218
223	1	0	31	3	0	0	0	0	0	4	57.5	12.5	1	1.5	506	218
224	1	0	31	3	0	0	0	0	0	4	57.5	12.5	1	1.5	503.5	218
225	1	0	31	3	0	0	0	0	0	4	57	12.5	1	1.5	500	217.5
226	1	0	31	3	0	0	0	0	0	4	56	12.5	1	1.5	495	217
227	1	0	30	3	0	0	0	0	0	4	55.5	14	1	1.5	495	216.5
228	1	0	30	3	0	0	2	0	0	4	55.5	16.5	1	1.5	494	216.5
229	1	0	30	3	0	0	5	0	0	4	55.5	16.5	1	1.5	459	215
230	1	0	30	3	0	0	6	0	0	4	55.5	17	1.5	1.5	300.5	215
231	1	0	30	3	0	0	6.5	0	0	4	55.5	18	1.5	1.5	285	215
232	1	0	30	3	0	0	6.5	0	0	4	53	18.5	1.5	1.5	274	215
233	1	0	30	3	0	0	7	0	0	4	48	26.5	1.5	1.5	274	215
234	1	0	30	3.5	0	0	12.5	0	0	4	47.5	34	2.5	1.5	270	215
235	1	0	30	4	0	0	21	0	0	4	47.5	34.5	2.5	1.5	199.5	215
236	1	0	30	4	0	0	25	0	0	4	47	35	3	1.5	96	215
237	1	0	30	4	0	0	30.5	0	0	4	47	35.5	3.5	1.5	95.5	214.5
238	1	0	30	6.5	0	0	33	0	0	4	47	35.5	3.5	1.5	95.5	214.5
239	1	0	30	6.5	0	0	35	0	0	4	47	43.5	3.5	1.5	95.5	214.5
240	1	0	30	7	0	0	37	0	0	3.5	45	44.5	3.5	1.5	94	214.5
241	1	0	30	7	0	0	38	0	0	3.5	45	44.5	3.5	1.5	87.5	214.5
242	1	0	30	7	0	0	38	0	0	3.5	45	45.5	4	1.5	87.5	213.5
243	2.5	0	30	7	0	0	39	0	0	3.5	45	46	4.5	1.5	87.5	213.5
244	3.5	0	29.5	7	0	0	39	0	0	3.5	45	46.5	4.5	1.5	87.5	213
245	3.5	0	29.5	7.5	0	0	39	0	0	3.5	45	47	4.5	1.5	87	213
246	3	0	29.5	7.5	0	0	39	0	0	3.5	45	47	4.5	1.5	86.5	213
247	3	0	29.5	8	0	0	39.5	0	0	3.5	45	47	4.5	1.5	74.5	213
248	3	0	29.5	13	0	0	40	0	0	3.5	45	47.5	4.5	1.5	12.5	213
249	3	0	29.5	13.5	0	0	40.5	0	0	3.5	45	48	4.5	1.5	11.5	213
250	3	0	29.5	13.5	0	0.5	41	0	0.5	3.5	45	48.5	4.5	2	7	213
251	3	0	29.5	13.5	0	0.5	42	0	0.5	3.5	45	48.5	4.5	2	6	213
252	3	0	29.5	14.5	0	0.5	42.5	0	0.5	3.5	45	50	4.5	1.5	6	212
253	3	0	29.5	14.5	0	0.5	42.5	0	0.5	3.5	45	53	4.5	1.5	6.5	212
254	3	0	29.5	14.5	0	0.5	43	0	1	3.5	45	53.5	4.5	1.5	6	210
255	3	0	29.5	14.5	0.5	0.5	49	0	1	3.5	44.5	53.5	4.5	2	6	210
256	3	0	29.5	15	1	0.5	51	0	1	3.5	40	55.5	4.5	2.5	5.5	210
257	3	0	29.5	15.5	1	0.5	51	0	1	3.5	40	56	4.5	41	5.5	210
258	3	0	29.5	15.5	1.5	0.5	51	0	1	3.5	39.5	56.5	4.5	44.5	5.5	209
259	3	0	29.5	16	1.5	0.5	52.5	0	1	3.5	39.5	56.5	4.5	48	5.5	205
260	3	0	29.5	16.5	2	0.5	53	0	1	3.5	38.5	56.5	4.5	51.5	5.5	148
261	3	0	29.5	16.5	2	0.5	53	0	1	3.5	38.5	58	4.5	54.5	5.5	60.5
262	3	0	29.5	16	2	0.5	53	0	1	3.5	38.5	58.5	4.5	55	5.5	59
263	3	0	29.5	16	2	0.5	53	0	1	3	38.5	58	4.5	57.5	5.5	55.5
264	3	0	29.5	16	2	0.5	53	0	1	1.5	38.5	58	4.5	59.5	5.5	46
265	3	0	29	17.5	2	0.5	53	0	1	1.5	38	58	4.5	61.5	5.5	46
266	3	0	29	17.5	2	0.5	53	0	1	1.5	37	58	4.5	61.5	5.5	38
267	3	0	29	17.5	2	0.5	53	0	1	1.5	37	58	4.5	61.5	5.5	38
268	3	0	29	17.5	2	0.5	53	0	1	1	37	56.5	4.5	64	5.5	37
269	3	0	28.5	17.5	2	0.5	53	0	1	1	37	56.5	4.5	64	3.5	35.5
270	3	0	28.5	17.5	2	0.5	53	0	1	1	37	56	4.5	67	2	35
271	3	0	28.5	17.5	2	0.5	53.5	0	1	1	37	56	4.5	71	2	35
272	3	0	28.5	17	2.5	0.5	53.5	0	1	0.5	37	56.5	4.5	72.5	2	34.5
273	3	0	28.5	17	2.5	0.5	54	0	1	0.5	36.5	56.5	4.5	74	2	34.5
274	3	0	28.5	17.5	2.5	0.5	54	0	1	0.5	36.5	56.5	4.5	76	2	29.5
275	3	0	28.5	18	2.5	0.5	54	0	1	0.5	36.5	56.5	4.5	81.5	2	19.5
276	3	0	28.5	18	2.5	0.5	54	0	1	0	36.5	56.5	4.5	85	2	15.5
277	3	0	20.5	18	2.5	0.5	54	0	1	0	33.5	56	4.5	87	2	5.5
278	3	0	19	17	3	0.5	54	0	2	0	17.5	56	4.5	87.5	2	3.5
279	3	0	18	19.5	3	0.5	54	0	2	0	17	56	4.5	88	2	3.5
280	3	0	12.5	19.5	3	0.5	54	0	2	0	17	55	4.5	88.5	2	1.5
281	3	0	12.5	19.5	3	0.5	54	0	2	0	16	55	4.5	90.5	2	1
282	3	0	12.5	19.5	3	0.5	54	0	2	0	7	55	4.5	92.5	2	1
283	3	0	12.5	19.5	3	0.5	54	0	2.5	0.5	6.5	55	4.5	96.5	2	0.5
284	3	0	12.5	19.5	3	0.5	54	0	2.5	0.5	6.5	52.5	4.5	100.5	1.5	0.5
285	3	0	12.5	20	3	0.5	54.5	0	2.5	0.5	6.5	52	4.5	102	1.5	0.5
286	3	0	12.5	20	3	0.5	54.5	0	2.5	0.5	6	47	4.5	103.5	1.5	0.5
287	3	0	12.5	20	3	0.5	54.5	0	2.5	0.5	3.5	47	4.5	103.5	1.5	0.5
288	3	0	12.5	20.5	3	0.5	54.5	0	2.5	0.5	3.5	47	4.5	106	1.5	0.5
289	3	0	12.5	20.5	3	0.5	54.5	0	2.5	0.5	3.5	47	4.5	162.5	1.5	1
290	3	0	12	21	3	0.5	54.5	0	2.5	0.5	3.5	47	4.5	167.5	1.5	1
291	3	0	2	22	3	0.5	54.5	0	2.5	0.5	3	47	4.5	171	1.5	1
292	3	0	1	22	3	0.5	54.5	0	2.5	1	1	47	4.5	175	1.5	1
293	3	0	0.5	22	3	0.5	54.5	0	2.5	1	1	47	4.5	177.5	1.5	1
294	3	0	0	22	3	0.5	54.5	0	3.5	1	0.5	47	4.5	177.5	1.5	1
295	2.5	0	0	22	3	0.5	54.5	0	3.5	1	0.5	47	0	178.5	1.5	1.5
296	1	0	0	27.5	3	0.5	55	0	3.5	1	0.5	47	0	180.5	1.5	1
297	0	0	0	27.5	3	0.5	55	0	3.5	1	0.5	47	0	180.5	1.5	1
298	0	0	0	27.5	3	0.5	55	0	3.5	1	0.5	47	0	180	1.5	1
299	0	0	0	38.5	3	0.5	55	0	3.5	1	1.5	47	0	181	1	1
300	0	0	0	39.5	3	0.5	55	0	3.5	1	1.5	47	0	182	0.5	1
301	0	0	0	40.5	3	0.5	55	0	3.5	1	1.5	47	0	185.5	0.5	1
302	0	0	0	40.5	3	0.5	55	0	3.5	1	1.5	47	0	185.5	0.5	1
303	0	0	0.5	42.5	3	0.5	55	0	3.5	1	1.5	45.5	0	185.5	0.5	2
304	0	0	0.5	42.5	3	0.5	52	0	3.5	1	1.5	43	0	186	0.5	2
305	0	0	0.5	43	3	0.5	49	0	3.5	1	1.5	43	0	186	0.5	6.5
306	0	0	0.5	43	3.5	0.5	47.5	0	3.5	1	1.5	42.5	0	187	0.5	7
307	0	0	0.5	44.5	3.5	0.5	46.5	0	3.5	1	1.5	41.5	0	187.5	0.5	7
308	0	0	0.5	44.5	3.5	0.5	46.5	0	3.5	1	1.5	40.5	0	188	0.5	7.5
309	0	0	0.5	44.5	3.5	0.5	45.5	0	3.5	1	1.5	30.5	0	188	0.5	7.5
310	0	0	0.5	44	3.5	0.5	38	0	3.5	1	2	23.5	0.5	198.5	0.5	8
311	0	0	0.5	43.5	3.5	0.5	23	0	3.5	1	2	23	0.5	199.5	0.5	9
312	0	0	0.5	43.5	3.5	0.5	21.5	0	3.5	1	2	23	0.5	209.5	0.5	10
313	0	0	0.5	49	3.5	0.5	11.5	0	3.5	1.5	2	22	0.5	209.5	0.5	10
314	0	0	0.5	46.5	3.5	0.5	12	0	3.5	1.5	2	22	0.5	209.5	0.5	26.5
