peak_label	chr	start_coord	end_coord	length_peak	abs_summit_coord	pileup_height	neg_log10_pvalue	gene_3UTR	UTR_start	UTR_end	UTR_strand
Nuc_1_SRR6315594_peak_142b	1	819318	819556	239	819513	388	20.88234	NCU09088	819221	819586	-
Nuc_1_SRR6315594_peak_143	1	822469	822547	79	822503	471	41.37965	NCU09089	822401	823194	+
Nuc_1_SRR6315594_peak_144a	1	822573	823033	461	822647	3346	2510.60034	NCU09089	822401	823194	+
Nuc_1_SRR6315594_peak_144b	1	822573	823033	461	822815	16615	23613.55859	NCU09089	822401	823194	+
Nuc_1_SRR6315594_peak_144c	1	822573	823033	461	822931	831	199.05981	NCU09089	822401	823194	+
Nuc_1_SRR6315594_peak_154a	1	858140	858483	344	858278	1579	1962.34216	NCU09101	858079	858451	+
Nuc_1_SRR6315594_peak_154b	1	858140	858483	344	858430	108	23.71901	NCU09101	858079	858451	+
Nuc_1_SRR6315594_peak_156	1	863430	863507	78	863470	143	43.69265	NCU09104	863464	864345	-
Nuc_1_SRR6315594_peak_157	1	863541	863622	82	863582	107	23.21282	NCU09104	863464	864345	-
Nuc_1_SRR6315594_peak_158	1	863883	864053	171	863957	1430	1717.29041	NCU09104	863464	864345	-
Nuc_1_SRR6315594_peak_160	1	928618	928759	142	928676	7874	12551.41699	NCU02187	928570	929260	-
Nuc_1_SRR6315594_peak_161	1	928790	928906	117	928846	439	182.13786	NCU02187	928570	929260	-
Nuc_1_SRR6315594_peak_162	1	929155	929303	149	929209	861	576.13104	NCU02187	928570	929260	-
Nuc_1_SRR6315594_peak_163a	1	943160	943627	468	943276	9998	15017.67676	NCU02184	943070	943577	+
Nuc_1_SRR6315594_peak_163b	1	943160	943627	468	943481	1709	1300.25195	NCU02184	943070	943577	+
Nuc_1_SRR6315594_peak_209b	1	1127077	1127468	392	1127230	1552	1058.3667	NCU02136	1126296	1127421	-
Nuc_1_SRR6315594_peak_209c	1	1127077	1127468	392	1127357	10148	14869.37402	NCU02136	1126296	1127421	-
Nuc_1_SRR6315594_peak_232	1	1236639	1236790	152	1236725	2111	2048.54077	NCU02114	1235389	1237074	+
Nuc_1_SRR6315594_peak_233	1	1236976	1237103	128	1237048	802	465.97998	NCU02114	1235389	1237074	+
Nuc_1_SRR6315594_peak_236a	1	1246719	1247007	289	1246780	704	637.64264	NCU02111	1246770	1247097	-
Nuc_1_SRR6315594_peak_236b	1	1246719	1247007	289	1246919	660	580.36847	NCU02111	1246770	1247097	-
Nuc_1_SRR6315594_peak_244a	1	1277026	1277341	316	1277113	417	182.25684	NCU02103	1276891	1277586	+
Nuc_1_SRR6315594_peak_244b	1	1277026	1277341	316	1277282	5847	8826.04102	NCU02103	1276891	1277586	+
Nuc_1_SRR6315594_peak_245	1	1277472	1277641	170	1277555	1005	774.12103	NCU02103	1276891	1277586	+
Nuc_1_SRR6315594_peak_250a	1	1296159	1296574	416	1296352	422	295.26575	NCU02099	1296167	1296535	+
Nuc_1_SRR6315594_peak_250b	1	1296159	1296574	416	1296503	1994	2675.4707	NCU02099	1296167	1296535	+
Nuc_1_SRR6315594_peak_267	1	1437776	1437905	130	1437836	823	798.32098	NCU02079	1437773	1438493	-
Nuc_1_SRR6315594_peak_268	1	1438239	1438367	129	1438292	214	94.8126	NCU02079	1437773	1438493	-
Nuc_1_SRR6315594_peak_269	1	1443540	1443623	84	1443579	163	56.82074	NCU02078	1443320	1443859	+
Nuc_1_SRR6315594_peak_270	1	1443665	1443849	185	1443762	536	426.10687	NCU02078	1443320	1443859	+
Nuc_1_SRR6315594_peak_272a	1	1447847	1448263	417	1447903	1879	2473.72827	NCU02076	1447740	1448502	-
Nuc_1_SRR6315594_peak_272b	1	1447847	1448263	417	1448069	133	37.56801	NCU02076	1447740	1448502	-
Nuc_1_SRR6315594_peak_272c	1	1447847	1448263	417	1448212	159	54.10661	NCU02076	1447740	1448502	-
Nuc_1_SRR6315594_peak_283a	1	1491837	1492143	307	1491952	1552	1917.46655	NCU02064	1491850	1492150	-
Nuc_1_SRR6315594_peak_283b	1	1491837	1492143	307	1492085	490	371.90555	NCU02064	1491850	1492150	-
Nuc_1_SRR6315594_peak_290a	1	1539572	1539931	360	1539627	258	131.87546	NCU10806	1539599	1539993	-
Nuc_1_SRR6315594_peak_290b	1	1539572	1539931	360	1539765	377	247.11548	NCU10806	1539599	1539993	-
Nuc_1_SRR6315594_peak_308	1	1625920	1626121	202	1625990	400	271.45172	NCU02031	1625847	1626629	+
Nuc_1_SRR6315594_peak_309	1	1626174	1626319	146	1626270	271	143.47232	NCU02031	1625847	1626629	+
Nuc_1_SRR6315594_peak_324	1	1675318	1675457	140	1675367	314	121.29516	NCU02012	1675354	1675804	-
Nuc_1_SRR6315594_peak_325	1	1675600	1675697	98	1675647	247	74.77202	NCU02012	1675354	1675804	-
Nuc_1_SRR6315594_peak_326	1	1679813	1680019	207	1679925	529	417.74478	NCU02011	1679855	1680783	-
Nuc_1_SRR6315594_peak_327	1	1680127	1680327	201	1680215	1413	1689.74695	NCU02011	1679855	1680783	-
Nuc_1_SRR6315594_peak_328a	1	1685830	1686277	448	1686031	715	509.56317	NCU02010	1685685	1686358	-
Nuc_1_SRR6315594_peak_328b	1	1685830	1686277	448	1686124	806	612.94696	NCU02010	1685685	1686358	-
Nuc_1_SRR6315594_peak_329a	1	1690479	1690801	323	1690550	3004	3882.11011	NCU02009	1690523	1690864	-
Nuc_1_SRR6315594_peak_329b	1	1690479	1690801	323	1690754	257	83.03057	NCU02009	1690523	1690864	-
Nuc_1_SRR6315594_peak_345a	1	1751780	1752237	458	1751834	528	239.32935	NCU01992	1751806	1752239	-
Nuc_1_SRR6315594_peak_345b	1	1751780	1752237	458	1752076	3439	4152.06201	NCU01992	1751806	1752239	-
Nuc_1_SRR6315594_peak_346	1	1755870	1755994	125	1755929	249	81.7475	NCU01991	1755857	1756242	-
Nuc_1_SRR6315594_peak_347	1	1756065	1756185	121	1756121	357	162.14232	NCU01991	1755857	1756242	-
Nuc_1_SRR6315594_peak_359b	1	1818821	1819168	348	1819008	152	49.46133	NCU01972	1818997	1819379	-
Nuc_1_SRR6315594_peak_359c	1	1818821	1819168	348	1819110	315	184.6503	NCU01972	1818997	1819379	-
Nuc_1_SRR6315594_peak_365a	1	1837013	1837455	443	1837149	24796	36565.44922	NCU01966	1836873	1837557	-
Nuc_1_SRR6315594_peak_365b	1	1837013	1837455	443	1837393	3587	2396.16309	NCU01966	1836873	1837557	-
Nuc_1_SRR6315594_peak_367a	1	1847310	1847716	407	1847386	1510	1277.34741	NCU01964	1847284	1847697	+
Nuc_1_SRR6315594_peak_367b	1	1847310	1847716	407	1847537	714	392.18802	NCU01964	1847284	1847697	+
Nuc_1_SRR6315594_peak_367c	1	1847310	1847716	407	1847656	468	184.42566	NCU01964	1847284	1847697	+
Nuc_1_SRR6315594_peak_379	1	1899322	1899486	165	1899422	14312	15177.48242	NCU01948	1899267	1900281	+
Nuc_1_SRR6315594_peak_380	1	1899569	1899712	144	1899660	6774	5092.80176	NCU01948	1899267	1900281	+
Nuc_1_SRR6315594_peak_381	1	1904248	1904416	169	1904344	747	195.48502	NCU01947	1904145	1905242	+
Nuc_1_SRR6315594_peak_382	1	1905024	1905122	99	1905067	154	50.77473	NCU01947	1904145	1905242	+
Nuc_1_SRR6315594_peak_386	1	1939276	1939437	162	1939347	3125	3952.53223	NCU01939	1939316	1940023	-
Nuc_1_SRR6315594_peak_387	1	1939631	1939838	208	1939725	1093	902.68207	NCU01939	1939316	1940023	-
Nuc_1_SRR6315594_peak_388	1	1939932	1940020	89	1939978	190	36.772	NCU01939	1939316	1940023	-
Nuc_1_SRR6315594_peak_389	1	1948144	1948315	172	1948251	282	153.49577	NCU01938	1948134	1950530	-
Nuc_1_SRR6315594_peak_390	1	1949548	1949726	179	1949621	1806	2347.23926	NCU01938	1948134	1950530	-
Nuc_1_SRR6315594_peak_396a	1	1970662	1971086	425	1970738	301	171.2413	NCU01932	1970618	1971203	-
Nuc_1_SRR6315594_peak_396b	1	1970662	1971086	425	1970955	793	757.06488	NCU01932	1970618	1971203	-
Nuc_1_SRR6315594_peak_402	1	1993778	1993925	148	1993857	594	496.86966	NCU01927	1993661	1994771	+
Nuc_1_SRR6315594_peak_403	1	1994510	1994607	98	1994554	120	30.09007	NCU01927	1993661	1994771	+
Nuc_1_SRR6315594_peak_404	1	1994647	1994797	151	1994730	319	188.53133	NCU01927	1993661	1994771	+
Nuc_1_SRR6315594_peak_417a	1	2054815	2055239	425	2054918	3840	5364.50098	NCU01912	2054865	2055370	+
Nuc_1_SRR6315594_peak_417b	1	2054815	2055239	425	2055155	1572	1602.98975	NCU01912	2054865	2055370	+
Nuc_1_SRR6315594_peak_420a	1	2069609	2069969	361	2069670	456	333.03665	NCU01908	2069608	2070019	-
Nuc_1_SRR6315594_peak_420b	1	2069609	2069969	361	2069868	163	56.82074	NCU01908	2069608	2070019	-
Nuc_1_SRR6315594_peak_441	1	2121882	2121978	97	2121928	189	59.43072	NCU01893	2121862	2122415	-
Nuc_1_SRR6315594_peak_442	1	2122104	2122209	106	2122156	388	221.06671	NCU01893	2121862	2122415	-
Nuc_1_SRR6315594_peak_444a	1	2128904	2129201	298	2129033	276	148.005	NCU01891	2128881	2129251	-
Nuc_1_SRR6315594_peak_444b	1	2128904	2129201	298	2129146	301	171.2413	NCU01891	2128881	2129251	-
Nuc_1_SRR6315594_peak_455a	1	2167478	2167846	369	2167531	599	503.08832	NCU01881	2167484	2167840	-
Nuc_1_SRR6315594_peak_455b	1	2167478	2167846	369	2167705	495	377.70944	NCU01881	2167484	2167840	-
Nuc_1_SRR6315594_peak_467	1	2233472	2233602	131	2233535	510	325.52109	NCU01859	2233083	2233970	-
Nuc_1_SRR6315594_peak_468a	1	2233653	2233928	276	2233721	1312	1339.54309	NCU01859	2233083	2233970	-
Nuc_1_SRR6315594_peak_468b	1	2233653	2233928	276	2233814	3666	5336.66309	NCU01859	2233083	2233970	-
Nuc_1_SRR6315594_peak_485a	1	2419117	2419638	522	2419212	1512	1707.28125	NCU02468	2418977	2419501	+
Nuc_1_SRR6315594_peak_485b	1	2419117	2419638	522	2419351	667	527.86853	NCU02468	2418977	2419501	+
Nuc_1_SRR6315594_peak_487a	1	2428832	2429187	356	2428936	937	884.8584	NCU02472	2428436	2429264	-
Nuc_1_SRR6315594_peak_487b	1	2428832	2429187	356	2429078	1207	1266.73254	NCU02472	2428436	2429264	-
Nuc_1_SRR6315594_peak_488c	1	2432402	2432903	502	2432813	614	474.75845	NCU02474	2432597	2433043	-
Nuc_1_SRR6315594_peak_489	1	2432946	2433063	118	2433009	402	243.90038	NCU02474	2432597	2433043	-
Nuc_1_SRR6315594_peak_501a	1	2503205	2503523	319	2503268	306	100.66597	NCU02492	2503157	2503493	+
Nuc_1_SRR6315594_peak_501b	1	2503205	2503523	319	2503378	785	553.97144	NCU02492	2503157	2503493	+
Nuc_1_SRR6315594_peak_519a	1	2579623	2580052	430	2579827	16054	24561.2207	NCU02514	2579582	2580025	-
Nuc_1_SRR6315594_peak_519b	1	2579623	2580052	430	2579999	490	83.24242	NCU02514	2579582	2580025	-
Nuc_1_SRR6315594_peak_522a	1	2599404	2599770	367	2599479	691	393.06573	NCU02520	2599397	2599740	+
Nuc_1_SRR6315594_peak_522b	1	2599404	2599770	367	2599645	390	159.74648	NCU02520	2599397	2599740	+
Nuc_1_SRR6315594_peak_523a	1	2608427	2608659	233	2608482	221	100.46705	NCU02522	2608465	2608686	+
Nuc_1_SRR6315594_peak_523b	1	2608427	2608659	233	2608585	192	77.69889	NCU02522	2608465	2608686	+
Nuc_1_SRR6315594_peak_525a	1	2620589	2620833	245	2620651	270	142.57054	NCU02524	2620296	2620811	+
Nuc_1_SRR6315594_peak_525b	1	2620589	2620833	245	2620775	454	330.78366	NCU02524	2620296	2620811	+
Nuc_1_SRR6315594_peak_552	1	2725527	2725661	135	2725604	784	744.78314	NCU02556	2725327	2726005	+
Nuc_1_SRR6315594_peak_553	1	2725789	2725863	75	2725827	97	18.37511	NCU02556	2725327	2726005	+
Nuc_1_SRR6315594_peak_554	1	2725914	2726057	144	2725985	571	468.50101	NCU02556	2725327	2726005	+
Nuc_1_SRR6315594_peak_568	1	2785722	2785849	128	2785787	109	24.22912	NCU02576	2785577	2786433	+
Nuc_1_SRR6315594_peak_569	1	2786089	2786346	258	2786220	1036	1103.97717	NCU02576	2785577	2786433	+
Nuc_1_SRR6315594_peak_572	1	2788688	2788867	180	2788750	700	632.3855	NCU02578	2788725	2789266	-
Nuc_1_SRR6315594_peak_573	1	2788895	2789068	174	2788953	566	462.38644	NCU02578	2788725	2789266	-
Nuc_1_SRR6315594_peak_601a	1	2878164	2878529	366	2878216	110	24.74312	NCU02605	2878056	2878864	+
Nuc_1_SRR6315594_peak_601b	1	2878164	2878529	366	2878358	570	467.27655	NCU02605	2878056	2878864	+
Nuc_1_SRR6315594_peak_601c	1	2878164	2878529	366	2878464	229	107.04603	NCU02605	2878056	2878864	+
Nuc_1_SRR6315594_peak_602a	1	2878663	2878923	261	2878738	380	250.25613	NCU02605	2878056	2878864	+
Nuc_1_SRR6315594_peak_602b	1	2878663	2878923	261	2878828	423	296.36017	NCU02605	2878056	2878864	+
Nuc_1_SRR6315594_peak_608	1	2902015	2902092	78	2902053	116	20.50174	NCU02609	2901357	2902528	+
Nuc_1_SRR6315594_peak_609a	1	2902261	2902570	310	2902362	660	523.08386	NCU02609	2901357	2902528	+
Nuc_1_SRR6315594_peak_609b	1	2902261	2902570	310	2902511	450	272.50006	NCU02609	2901357	2902528	+
Nuc_1_SRR6315594_peak_617a	1	2925642	2925869	228	2925700	1130	1245.17407	NCU02616	2925665	2926033	-
Nuc_1_SRR6315594_peak_617b	1	2925642	2925869	228	2925800	574	472.17883	NCU02616	2925665	2926033	-
Nuc_1_SRR6315594_peak_619a	1	2935228	2935599	372	2935326	935	956.40283	NCU02618	2934486	2935552	+
Nuc_1_SRR6315594_peak_619b	1	2935228	2935599	372	2935542	1000	1050.86389	NCU02618	2934486	2935552	+
Nuc_1_SRR6315594_peak_621a	1	2942378	2942690	313	2942437	143	43.69265	NCU02620	2942339	2942854	+
Nuc_1_SRR6315594_peak_621b	1	2942378	2942690	313	2942601	396	267.17728	NCU02620	2942339	2942854	+
Nuc_1_SRR6315594_peak_628a	1	2986083	2986407	325	2986148	1649	1626.40027	NCU02629	2986087	2986584	-
Nuc_1_SRR6315594_peak_628b	1	2986083	2986407	325	2986316	3923	5302.73291	NCU02629	2986087	2986584	-
Nuc_1_SRR6315594_peak_639a	1	3010039	3010378	340	3010103	10758	16048.08203	NCU02637	3010082	3010511	-
Nuc_1_SRR6315594_peak_639b	1	3010039	3010378	340	3010301	1471	973.83856	NCU02637	3010082	3010511	-
Nuc_1_SRR6315594_peak_643a	1	3046108	3046408	301	3046192	241	117.139	NCU02644	3045986	3047360	+
Nuc_1_SRR6315594_peak_643b	1	3046108	3046408	301	3046331	837	817.73712	NCU02644	3045986	3047360	+
Nuc_1_SRR6315594_peak_646a	1	3067577	3067882	306	3067666	916	929.15533	NCU02650	3067431	3067876	+
Nuc_1_SRR6315594_peak_646b	1	3067577	3067882	306	3067822	176	65.92734	NCU02650	3067431	3067876	+
Nuc_1_SRR6315594_peak_649	1	3091641	3091718	78	3091678	327	54.9428	NCU02657	3091094	3092486	-
Nuc_1_SRR6315594_peak_650	1	3091849	3092123	275	3091925	11121	16614.52148	NCU02657	3091094	3092486	-
Nuc_1_SRR6315594_peak_651	1	3092211	3092332	122	3092290	267	24.16798	NCU02657	3091094	3092486	-
Nuc_1_SRR6315594_peak_654a	1	3102605	3103063	459	3102672	341	210.25726	NCU02661	3102202	3103046	+
Nuc_1_SRR6315594_peak_654b	1	3102605	3103063	459	3102801	364	233.62633	NCU02661	3102202	3103046	+
Nuc_1_SRR6315594_peak_654c	1	3102605	3103063	459	3102998	384	254.45958	NCU02661	3102202	3103046	+
Nuc_1_SRR6315594_peak_660a	1	3135490	3135925	436	3135693	10839	14390.31738	NCU02668	3135445	3135871	+
Nuc_1_SRR6315594_peak_660b	1	3135490	3135925	436	3135866	6429	7116.06348	NCU02668	3135445	3135871	+
Nuc_1_SRR6315594_peak_674	1	3189848	3189952	105	3189901	193	62.24268	NCU02684	3189891	3190746	-
Nuc_1_SRR6315594_peak_675a	1	3190131	3190467	337	3190198	1094	1083.36694	NCU02684	3189891	3190746	-
Nuc_1_SRR6315594_peak_675b	1	3190131	3190467	337	3190277	1252	1310.09082	NCU02684	3189891	3190746	-
Nuc_1_SRR6315594_peak_686a	1	3243066	3243407	342	3243123	369	238.79109	NCU02699	3242555	3243393	+
Nuc_1_SRR6315594_peak_686b	1	3243066	3243407	342	3243306	67	6.6771	NCU02699	3242555	3243393	+
Nuc_1_SRR6315594_peak_686c	1	3243066	3243407	342	3243370	79	10.7972	NCU02699	3242555	3243393	+
Nuc_1_SRR6315594_peak_691	1	3268957	3269122	166	3269047	20275	23782.31836	NCU10498	3268861	3269533	+
Nuc_1_SRR6315594_peak_692	1	3269197	3269370	174	3269303	4878	2875.66675	NCU10498	3268861	3269533	+
Nuc_1_SRR6315594_peak_693a	1	3272682	3272888	207	3272747	4269	3355.55469	NCU10497	3272686	3272893	+
Nuc_1_SRR6315594_peak_693b	1	3272682	3272888	207	3272835	2771	1700.70447	NCU10497	3272686	3272893	+
Nuc_1_SRR6315594_peak_696a	1	3283827	3284141	315	3283877	223	102.10027	NCU02712	3283805	3284141	+
Nuc_1_SRR6315594_peak_696b	1	3283827	3284141	315	3283999	306	175.99861	NCU02712	3283805	3284141	+
Nuc_1_SRR6315594_peak_696c	1	3283827	3284141	315	3284078	382	252.35559	NCU02712	3283805	3284141	+
Nuc_1_SRR6315594_peak_700a	1	3298274	3298623	350	3298327	128	34.62469	NCU02716	3298324	3298782	-
Nuc_1_SRR6315594_peak_700b	1	3298274	3298623	350	3298395	119	29.53891	NCU02716	3298324	3298782	-
Nuc_1_SRR6315594_peak_700c	1	3298274	3298623	350	3298540	228	106.21698	NCU02716	3298324	3298782	-
Nuc_1_SRR6315594_peak_708	1	3332939	3333042	104	3333000	179	68.08855	NCU02724	3332481	3333280	+
Nuc_1_SRR6315594_peak_709	1	3333088	3333252	165	3333188	1301	1510.55444	NCU02724	3332481	3333280	+
Nuc_1_SRR6315594_peak_712a	1	3340048	3340425	378	3340084	92	16.11699	NCU02726	3339899	3341886	+
Nuc_1_SRR6315594_peak_712b	1	3340048	3340425	378	3340239	652	570.08917	NCU02726	3339899	3341886	+
Nuc_1_SRR6315594_peak_718a	1	3360879	3361191	313	3360959	876	841.73309	NCU02733	3360914	3361210	-
Nuc_1_SRR6315594_peak_718b	1	3360879	3361191	313	3361090	396	266.56726	NCU02733	3360914	3361210	-
Nuc_1_SRR6315594_peak_722	1	3376718	3376838	121	3376778	974	648.43939	NCU02738	3376706	3377115	+
Nuc_1_SRR6315594_peak_723	1	3376881	3377082	202	3376973	1718	1552.6012	NCU02738	3376706	3377115	+
Nuc_1_SRR6315594_peak_724	1	3384704	3384812	109	3384757	236	112.90155	NCU02739	3384224	3385064	+
Nuc_1_SRR6315594_peak_725	1	3384841	3385078	238	3384939	422	295.26575	NCU02739	3384224	3385064	+
Nuc_1_SRR6315594_peak_729a	1	3400642	3401150	509	3400738	6740	6863.47705	NCU02744	3400613	3401441	+
Nuc_1_SRR6315594_peak_729b	1	3400642	3401150	509	3400909	13100	17016.54102	NCU02744	3400613	3401441	+
Nuc_1_SRR6315594_peak_729c	1	3400642	3401150	509	3401083	4209	3466.79858	NCU02744	3400613	3401441	+
Nuc_1_SRR6315594_peak_731a	1	3407496	3407765	270	3407581	2023	2719.30884	NCU02746	3407497	3407805	+
Nuc_1_SRR6315594_peak_731b	1	3407496	3407765	270	3407709	163	56.33093	NCU02746	3407497	3407805	+
Nuc_1_SRR6315594_peak_743	1	3451583	3451706	124	3451644	667	436.46951	NCU02754	3451337	3452077	+
Nuc_1_SRR6315594_peak_744	1	3451729	3451869	141	3451803	1503	1477.99365	NCU02754	3451337	3452077	+
Nuc_1_SRR6315594_peak_750a	1	3465968	3466266	299	3466035	317	121.87307	NCU02761	3465987	3466559	-
Nuc_1_SRR6315594_peak_750b	1	3465968	3466266	299	3466150	195	44.19949	NCU02761	3465987	3466559	-
Nuc_1_SRR6315594_peak_750c	1	3465968	3466266	299	3466208	184	39.21072	NCU02761	3465987	3466559	-
Nuc_1_SRR6315594_peak_760a	1	3522958	3523343	386	3523047	629	449.80173	NCU09377	3522966	3523572	-
Nuc_1_SRR6315594_peak_760b	1	3522958	3523343	386	3523153	2384	3018.19824	NCU09377	3522966	3523572	-
Nuc_1_SRR6315594_peak_760c	1	3522958	3523343	386	3523290	168	40.44459	NCU09377	3522966	3523572	-
Nuc_1_SRR6315594_peak_762a	1	3531349	3531878	530	3531534	1261	1447.55298	NCU09375	3531306	3531746	+
Nuc_1_SRR6315594_peak_762b	1	3531349	3531878	530	3531649	770	725.7674	NCU09375	3531306	3531746	+
Nuc_1_SRR6315594_peak_773	1	3676437	3676641	205	3676544	1249	764.10309	NCU09995	3676307	3676902	+
Nuc_1_SRR6315594_peak_774	1	3676702	3676893	192	3676777	10130	15007.28418	NCU09995	3676307	3676902	+
Nuc_1_SRR6315594_peak_785a	1	3992405	3992703	299	3992478	685	376.46326	NCU09895	3992420	3992764	+
Nuc_1_SRR6315594_peak_785b	1	3992405	3992703	299	3992649	519	231.61057	NCU09895	3992420	3992764	+
Nuc_1_SRR6315594_peak_787a	1	4000922	4001315	394	4001004	583	483.25296	NCU09898	4000853	4001318	+
Nuc_1_SRR6315594_peak_787b	1	4000922	4001315	394	4001152	1309	1523.21924	NCU09898	4000853	4001318	+
Nuc_1_SRR6315594_peak_787c	1	4000922	4001315	394	4001245	410	282.21307	NCU09898	4000853	4001318	+
Nuc_1_SRR6315594_peak_798a	1	4099970	4100229	260	4100057	1032	712.61279	NCU09803	4099943	4100551	+
Nuc_1_SRR6315594_peak_798b	1	4099970	4100229	260	4100174	707	384.25113	NCU09803	4099943	4100551	+
Nuc_1_SRR6315594_peak_799	1	4100463	4100542	80	4100502	245	45.36733	NCU09803	4099943	4100551	+
Nuc_1_SRR6315594_peak_812a	1	4135026	4135333	308	4135152	1184	1327.84033	NCU09813	4135019	4135561	-
Nuc_1_SRR6315594_peak_812b	1	4135026	4135333	308	4135295	96	17.91461	NCU09813	4135019	4135561	-
Nuc_1_SRR6315594_peak_813	1	4135436	4135590	155	4135498	429	302.94824	NCU09813	4135019	4135561	-
Nuc_1_SRR6315594_peak_815a	1	4141769	4141973	205	4141824	461	141.34029	NCU09814	4141653	4142009	+
Nuc_1_SRR6315594_peak_815b	1	4141769	4141973	205	4141935	223	22.50309	NCU09814	4141653	4142009	+
Nuc_1_SRR6315594_peak_816	1	4145520	4145686	167	4145593	8293	11486.27051	NCU09816	4145268	4145879	-
Nuc_1_SRR6315594_peak_817	1	4145712	4145959	248	4145783	1859	1412.82068	NCU09816	4145268	4145879	-
Nuc_1_SRR6315594_peak_823a	1	4200877	4201124	248	4200956	2335	1874.07825	NCU09333	4200668	4201223	+
Nuc_1_SRR6315594_peak_823b	1	4200877	4201124	248	4201073	1756	1208.35754	NCU09333	4200668	4201223	+
Nuc_1_SRR6315594_peak_834	1	4250780	4250973	194	4250864	222	101.28269	NCU09322	4250624	4251744	+
Nuc_1_SRR6315594_peak_835	1	4251654	4251786	133	4251722	918	932.0155	NCU09322	4250624	4251744	+
Nuc_1_SRR6315594_peak_836	1	4251943	4252119	177	4252001	650	567.52594	NCU09321	4251989	4252459	-
Nuc_1_SRR6315594_peak_837a	1	4252225	4252454	230	4252290	664	585.52393	NCU09321	4251989	4252459	-
Nuc_1_SRR6315594_peak_837b	1	4252225	4252454	230	4252404	293	163.70444	NCU09321	4251989	4252459	-
Nuc_1_SRR6315594_peak_845a	1	4289379	4289738	360	4289458	758	709.55591	NCU09312	4289315	4289737	+
Nuc_1_SRR6315594_peak_845b	1	4289379	4289738	360	4289662	574	472.17883	NCU09312	4289315	4289737	+
Nuc_1_SRR6315594_peak_847	1	4303774	4303876	103	4303822	404	275.74344	NCU09310	4303304	4304419	+
Nuc_1_SRR6315594_peak_848a	1	4304050	4304393	344	4304109	295	165.57991	NCU09310	4303304	4304419	+
